unique_id,metric,AutoTiDE,AutoBiTCN,AutoDeepNPTS,AutoLSTM,AutoNHITS,AutoTFT,AutoMLP,AutoNBEATSx,best_model
OT_raw,mse,0.0677974242392138,0.0682309882292897,0.06902434903088522,0.07985099919398354,0.07982326285222985,0.07598808983763751,0.06971660158868284,0.07384377774878287,AutoTiDE
OT_w1001_exogenous_process_dtw,mse,0.0677974242392138,0.0682580933518114,0.06912181144494929,0.07985119903563925,0.07961755727743948,0.07597432118459975,0.06974738016723203,0.07384095928605942,AutoTiDE
OT_w1001_exogenous_process_dtw_inverted,mse,0.0677974242392138,0.0682580933518114,0.06912181144494929,0.07985119903563925,0.07961755727743948,0.07597432118459975,0.06974738016723203,0.07384095928605942,AutoTiDE
OT_w1001_exogenous_process_entropy,mse,0.0677974242392138,0.06828596736171805,0.06925511543958547,0.07985120156752155,0.07911168419654922,0.07613288447064957,0.06991118568826453,0.07418269778378282,AutoTiDE
OT_w1001_exogenous_process_entropy_inverted,mse,0.0677974242392138,0.06828596736171805,0.06925511543958547,0.07985120156752155,0.07911168419654922,0.07613288447064957,0.06991118568826453,0.07418269778378282,AutoTiDE
OT_w1001_exogenous_process_farm,mse,0.0677974242392138,0.0682232326643062,0.06896919953655974,0.0798507056509339,0.07989630167643721,0.07613226160217551,0.06972106221071932,0.0739320299344785,AutoTiDE
OT_w1001_exogenous_process_mutual_info,mse,0.0677974242392138,0.06813052794791948,0.06939715053031664,0.07984834874989202,0.07845109731917146,0.07556669072636318,0.06965338962409066,0.07402413595955104,AutoTiDE
OT_w1001_exogenous_process_mutual_info_inverted,mse,0.0677974242392138,0.06813052794791948,0.06939715053031664,0.07984834874989202,0.07845109731917146,0.07556669072636318,0.06965338962409066,0.07402413595955104,AutoTiDE
OT_w1001_exogenous_process_rollcorr,mse,0.0677974242392138,0.06824219718686556,0.06890551355392212,0.07985384009944889,0.07905255249631903,0.07636308033429758,0.0696669643867413,0.07399211288382448,AutoTiDE
OT_w1001_exogenous_process_rollcorr_inverted,mse,0.0677974242392138,0.06824219718686556,0.06890551355392212,0.07985384009944889,0.07905255249631903,0.07636308033429758,0.0696669643867413,0.07399211288382448,AutoTiDE
