number,value,datetime_start,datetime_complete,duration,params_early_stop_patience_steps,params_hidden_size,params_learning_rate,params_val_check_steps,params_windows_batch_size,user_attrs_ALL_PARAMS,user_attrs_METRICS,state
0,0.1436881721019745,2025-05-24 21:16:58.286997,2025-05-24 21:17:02.813823,0 days 00:00:04.526826,10,32,0.01351896015106182,25,128,"{'input_size': 96, 'hist_exog_list': ['HUFL', 'HULL', 'MUFL', 'MULL', 'LUFL', 'LULL'], 'val_check_steps': 25, 'max_steps': 1000, 'batch_size': 1, 'windows_batch_size': 128, 'scaler_type': 'standard', 'learning_rate': 0.01351896015106182, 'random_seed': 1, 'early_stop_patience_steps': 10, 'hidden_size': 32, 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}","{'loss': tensor(0.1437), 'train_loss': tensor(2.3616)}",COMPLETE
1,0.1899271011352539,2025-05-24 21:17:02.814810,2025-05-24 21:17:09.546202,0 days 00:00:06.731392,10,32,0.0017207292542460357,50,512,"{'input_size': 96, 'hist_exog_list': ['HUFL', 'HULL', 'MUFL', 'MULL', 'LUFL', 'LULL'], 'val_check_steps': 50, 'max_steps': 1000, 'batch_size': 1, 'windows_batch_size': 512, 'scaler_type': 'standard', 'learning_rate': 0.0017207292542460357, 'random_seed': 1, 'early_stop_patience_steps': 10, 'hidden_size': 32, 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}","{'loss': tensor(0.1899), 'train_loss': tensor(1.0611)}",COMPLETE
