unique_id,metric,AutoLSTM,AutoNHITS,AutoTFT,AutoMLP,AutoNBEATSx,AutoTiDE,AutoBiTCN,AutoDeepNPTS,best_model
OT_exogenous_FARM_shaped,mse,0.04205263277584476,0.04530569624687067,0.032084986801476395,0.03546053829664988,0.03483107494962124,0.03382421336163763,0.04298452059458006,0.032720790038434595,AutoTFT
OT_raw,mse,0.04202953914311321,0.03366207525204952,0.0321069519779914,0.03606560830746288,0.04296797997182554,0.03382421336163763,0.03418732793521046,0.03398244325160689,AutoTFT
OT_exogenous_FARM_shaped,mae,0.16723849114529382,0.14515137763387082,0.13794252576363375,0.14814572050560873,0.14528696776527095,0.14333488579520806,0.152484113415274,0.1387554242926227,AutoTFT
OT_raw,mae,0.1671570222636525,0.14053387712113066,0.13798886625641246,0.15030133950770272,0.1644387541515648,0.14333488579520806,0.1481302306273848,0.14289592279571184,AutoTFT
OT_exogenous_FARM_shaped,rmse,0.20506738593897558,0.21285134776850878,0.17912282602023785,0.1883096872087304,0.1866308520840572,0.18391360298150225,0.20732708601285085,0.18088888865387667,AutoTFT
OT_raw,rmse,0.20501107078183173,0.18347227379647726,0.17918412870003692,0.18990947398027008,0.20728719201104912,0.18391360298150225,0.18489815557546932,0.18434327558011682,AutoTFT
OT_exogenous_FARM_shaped,mape,0.10897443012811389,0.09229912971171719,0.08831359119993193,0.09442559219911309,0.0928581319470827,0.09162266290816348,0.09795545025149102,0.0890600798793669,AutoTFT
OT_raw,mape,0.10892194583321314,0.08957932475333995,0.08833508358656554,0.0956353894765314,0.10543082246248629,0.09162266290816348,0.09528910953870677,0.09224770910234491,AutoTFT
OT_exogenous_FARM_shaped,smape,0.05373467028693565,0.04651548137016888,0.04430957177974315,0.04788887804378101,0.04630699994900778,0.045954190201646324,0.04905125246968333,0.0444562932812658,AutoTFT
OT_raw,smape,0.0537127857614466,0.04505354968467384,0.04432775161211425,0.04856875707701241,0.05162290911391406,0.045954190201646324,0.047562529436688906,0.04590246411970723,AutoTFT
