unique_id,metric,AutoLSTM,AutoNHITS,AutoTFT,AutoMLP,AutoNBEATSx,AutoTiDE,AutoBiTCN,AutoDeepNPTS,best_model
OT_exogenous_FARM_shaped,mse,0.2143373592462582,0.13548201889741207,0.18951178113030076,3.445853448655636,0.10354415063229602,0.0920888681214455,0.18499328473686055,0.12311151125647225,AutoTiDE
OT_raw,mse,0.21271404128756016,0.12433259565228419,0.1897767903350889,0.18635195961168574,0.0996298510565872,0.0920888681214455,0.18490489772548993,0.13019135581693406,AutoTiDE
OT_exogenous_FARM_shaped,mae,0.3512235641246056,0.278009161916493,0.33265810680353153,0.37175031005261566,0.23518520632152762,0.22175098788344844,0.33296589370358287,0.2681683003844066,AutoTiDE
OT_raw,mae,0.35006178985167236,0.2657820303790854,0.33220109790922564,0.3311707642761263,0.23107502310311717,0.22175098788344844,0.3328846077000893,0.2793275006469022,AutoTiDE
OT_exogenous_FARM_shaped,rmse,0.46296582945856624,0.3680788215822965,0.4353295086831362,1.8563010124049482,0.32178276932162797,0.3034614771621688,0.430108456946455,0.3508725000003167,AutoTiDE
OT_raw,rmse,0.46120932480551624,0.35260827507630077,0.4356337800665703,0.4316850236129182,0.3156419665643135,0.3034614771621688,0.43000569499192676,0.36082039273984234,AutoTiDE
OT_exogenous_FARM_shaped,mape,0.3053893607477186,0.2106318926069962,0.2799047229353284,0.3097220038966032,0.1803889379518608,0.16589505923563586,0.28077595227001645,0.2130402856218111,AutoTiDE
OT_raw,mape,0.3041714159484099,0.20071373243113186,0.28029784483338177,0.2749548128049235,0.1814339726652324,0.16589505923563586,0.28070805166503465,0.22588470452181228,AutoTiDE
OT_exogenous_FARM_shaped,smape,0.11487897442000675,0.09604547520474835,0.10958373684790966,0.11278172666794684,0.08267257206994898,0.07878454939879416,0.10993216074810247,0.09240677443656559,AutoTiDE
OT_raw,smape,0.1146659583260061,0.09202628036711978,0.10941509187063574,0.11132854316015903,0.0811681559109809,0.07878454939879416,0.10991117629124161,0.09676550166967055,AutoTiDE
