number,value,datetime_start,datetime_complete,duration,params_decoder_output_dim,params_early_stop_patience_steps,params_hidden_size,params_layernorm,params_learning_rate,params_num_decoder_layers,params_num_encoder_layers,params_temporal_decoder_dim,params_temporal_width,params_val_check_steps,params_windows_batch_size,user_attrs_ALL_PARAMS,user_attrs_METRICS,state
0,49955.32421875,2025-05-24 21:14:35.368802,2025-05-24 21:14:47.601598,0 days 00:00:12.232796,32,10,512,False,0.011810440959415181,2,2,128,16,100,256,"{'input_size': 96, 'hist_exog_list': ['HUFL', 'HULL', 'MUFL', 'MULL', 'LUFL', 'LULL'], 'val_check_steps': 100, 'max_steps': 1000, 'batch_size': 1, 'windows_batch_size': 256, 'scaler_type': 'standard', 'learning_rate': 0.011810440959415181, 'random_seed': 1, 'early_stop_patience_steps': 10, 'hidden_size': 512, 'decoder_output_dim': 32, 'temporal_decoder_dim': 128, 'num_encoder_layers': 2, 'num_decoder_layers': 2, 'temporal_width': 16, 'layernorm': False, 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}","{'loss': tensor(49955.3242), 'train_loss': tensor(3204480.)}",COMPLETE
1,0.11934638023376465,2025-05-24 21:14:47.602578,2025-05-24 21:15:52.578272,0 days 00:01:04.975694,16,10,1024,True,0.0002881921100385443,2,1,64,8,500,2048,"{'input_size': 96, 'hist_exog_list': ['HUFL', 'HULL', 'MUFL', 'MULL', 'LUFL', 'LULL'], 'val_check_steps': 500, 'max_steps': 1000, 'batch_size': 1, 'windows_batch_size': 2048, 'scaler_type': 'standard', 'learning_rate': 0.0002881921100385443, 'random_seed': 1, 'early_stop_patience_steps': 10, 'hidden_size': 1024, 'decoder_output_dim': 16, 'temporal_decoder_dim': 64, 'num_encoder_layers': 1, 'num_decoder_layers': 2, 'temporal_width': 8, 'layernorm': True, 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}","{'loss': tensor(0.1193), 'train_loss': tensor(2.5103)}",COMPLETE
