,dataset,horizon,shaping_process,shaping_window,model,metric,value
2,ETTh1,192,prollcov,751,TSMixerx,rmse,0.3025528801343356
2,ETTh1,192,ipmutual_info,1501,TSMixerx,rmse,0.3025439680290603
2,ETTh1,192,pentropy,1251,TSMixerx,rmse,0.3025368372015892
2,ETTh1,192,prollcorr,501,TSMixerx,rmse,0.3025302871063338
2,ETTh1,96,pentropy,751,NHITS,rmse,0.3025168985090959
2,ETTh1,192,pentropy,501,TSMixerx,rmse,0.3025157189587239
2,ETTh1,192,ipentropy,751,TSMixerx,rmse,0.3025134856314806
2,ETTh1,192,iprollcov,1251,TSMixerx,rmse,0.3025132955357428
2,ETTh1,192,iprollcorr,1501,BiTCN,rmse,0.3024654002473935
2,ETTh1,192,pentropy,751,BiTCN,rmse,0.3024550365506115
2,ETTh1,192,pentropy,1001,TSMixerx,rmse,0.3024164598352105
2,ETTh1,192,prollcov,1501,DeepNPTS,rmse,0.3023838461376513
2,ETTh1,192,pentropy,501,DeepNPTS,rmse,0.3023526979787393
2,ETTh1,192,ipmutual_info,1001,DeepNPTS,rmse,0.3023502563586839
2,ETTh1,192,pentropy,1001,DeepNPTS,rmse,0.3023271617191632
2,ETTh1,192,pentropy,1501,LSTM,rmse,0.3023179237888902
2,ETTh1,192,iprollcorr,1501,TSMixerx,rmse,0.3022608381387171
2,ETTh1,192,prollcov,1501,TSMixerx,rmse,0.3022505986730332
2,ETTh1,192,iprollcorr,501,TSMixerx,rmse,0.3022281209906924
2,ETTh1,192,pfarm,1001,TSMixerx,rmse,0.3021276500584249
2,ETTh1,192,pfarm,751,MLP,rmse,0.3020802833782926
2,ETTh1,192,prollcov,1001,TSMixerx,rmse,0.3020589257234478
2,ETTh1,192,iprollcorr,1251,TSMixerx,rmse,0.3020521885838227
2,ETTh1,192,prollcorr,1501,TSMixerx,rmse,0.3020134723803976
2,ETTh1,192,identity,N/A,TSMixerx,rmse,0.3020038833552224
2,ETTh1,192,iprollcov,1501,TSMixerx,rmse,0.3019848565654678
2,ETTh1,192,prollcov,1251,DeepNPTS,rmse,0.3019745350199539
2,ETTh1,192,iprollcov,751,DeepNPTS,rmse,0.3019444791097943
0,ETTh1,720,identity,N/A,LSTM,mse,0.3019426462291198
2,ETTh1,192,ipmutual_info,1001,TSMixerx,rmse,0.301906386386316
2,ETTh1,192,pentropy,1501,TSMixerx,rmse,0.301868858807393
2,ETTh1,192,pfarm,1501,TSMixerx,rmse,0.3018503478619521
2,ETTh1,192,pfarm,501,TSMixerx,rmse,0.3018274704761765
1,ETTh1,720,iprollcov,501,BiTCN,mae,0.3017644930334502
